,음식점,맛있다,빠르다,웨이팅,비싸다,청결,더럽다,쾌적,분위기,넓다,좁다,친절하다,불친절하다,좋다,강추,별로,신선하다,다양하다,편리하다,유명하다,총 리뷰수
25,화양리정육식당,40.0,0.0,0.0,0.2631578947368421,0.2631578947368421,0.0,0.0,4.736842105263158,1.5789473684210527,0.0,14.210526315789473,0.0,32.36842105263158,0.7894736842105263,0.0,3.9473684210526314,1.5789473684210527,0.0,0.2631578947368421,380.0
26,고봉민김밥인 서울군자점,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
27,돈카와치 어린이대공원점,50.12658227848101,0.25316455696202533,0.0,0.37974683544303794,0.0,0.0,0.0,5.69620253164557,0.25316455696202533,0.25316455696202533,12.151898734177214,0.0,26.455696202531648,0.7594936708860759,0.25316455696202533,1.0126582278481013,2.4050632911392404,0.0,0.0,790.0
28,얌샘김밥 세종대점,48.924731182795696,0.0,0.0,2.6881720430107525,0.5376344086021506,0.5376344086021506,0.0,0.0,0.5376344086021506,0.5376344086021506,10.75268817204301,7.526881720430108,22.043010752688172,0.0,2.6881720430107525,0.5376344086021506,1.6129032258064515,0.0,1.0752688172043012,186.0
29,스시교센,53.608247422680414,0.0,0.0,0.5154639175257731,0.0,1.0309278350515463,0.0,0.0,0.0,0.0,4.639175257731959,3.608247422680412,28.350515463917525,1.0309278350515463,1.5463917525773196,5.154639175257731,0.5154639175257731,0.0,0.0,194.0
30,채선당 월남쌈 & 샤브샤브 화양점,25.287356321839084,0.0,0.0,0.38314176245210724,0.38314176245210724,0.38314176245210724,0.0,0.0,2.2988505747126435,0.0,11.11111111111111,1.1494252873563218,44.827586206896555,0.0,2.2988505747126435,9.961685823754788,1.1494252873563218,0.7662835249042145,0.0,261.0
31,혼다라멘 어린이대공원점,64.14141414141415,1.0101010101010102,0.5050505050505051,2.525252525252525,0.0,0.0,0.0,1.0101010101010102,0.0,0.5050505050505051,1.5151515151515151,0.0,27.77777777777778,0.0,0.5050505050505051,0.0,0.0,0.0,0.5050505050505051,198.0
32,장어시대 군자점,44.11764705882353,0.0,0.0,2.941176470588235,0.0,0.0,0.0,0.0,8.823529411764707,0.0,17.647058823529413,0.0,14.705882352941178,0.0,0.0,11.76470588235294,0.0,0.0,0.0,34.0
33,만게츠,44.71299093655589,0.0,0.0,0.0,0.0,0.0,0.0,7.552870090634441,0.6042296072507553,0.3021148036253776,8.157099697885197,0.0,32.93051359516616,0.906344410876133,0.906344410876133,0.6042296072507553,2.416918429003021,0.0,0.906344410876133,331.0
34,알고,42.80442804428044,0.36900369003690037,0.0,0.0,0.0,0.0,0.0,6.642066420664207,0.36900369003690037,0.0,5.166051660516605,0.0,36.53136531365313,0.7380073800738007,1.107011070110701,0.7380073800738007,5.166051660516605,0.0,0.36900369003690037,271.0
35,라운지앤,58.36909871244635,0.4291845493562232,0.0,0.8583690987124464,0.0,0.0,0.0,0.0,0.0,0.4291845493562232,17.167381974248926,0.0,20.600858369098713,0.0,0.4291845493562232,0.4291845493562232,0.8583690987124464,0.0,0.4291845493562232,233.0
36,용두동할매쭈꾸미,63.829787234042556,0.0,0.0,0.7092198581560284,0.0,0.0,0.0,0.0,0.0,0.0,9.219858156028367,0.0,19.148936170212767,2.127659574468085,1.4184397163120568,1.4184397163120568,0.0,0.7092198581560284,1.4184397163120568,141.0
37,장수마을 정육식당,42.95774647887324,0.0,0.0,1.4084507042253522,0.7042253521126761,0.0,0.7042253521126761,0.0,2.112676056338028,0.0,14.788732394366196,1.4084507042253522,29.577464788732392,0.0,4.225352112676056,2.112676056338028,0.0,0.0,0.0,142.0
38,무한정수제돈까스 군자점,48.95833333333333,1.0416666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.833333333333336,0.0,29.166666666666668,0.0,0.0,0.0,0.0,0.0,0.0,96.0
39,피자스쿨 세종대점,64.48979591836735,4.489795918367347,0.0,0.40816326530612246,0.0,0.0,0.0,0.0,1.2244897959183674,0.0,7.346938775510205,0.0,21.224489795918366,0.40816326530612246,0.0,0.40816326530612246,0.0,0.0,0.0,245.0
40,미주류 본점,38.559322033898304,0.0,1.2711864406779663,0.847457627118644,0.423728813559322,0.0,0.0,10.59322033898305,0.0,0.847457627118644,9.322033898305085,0.0,27.54237288135593,0.847457627118644,0.0,0.0,9.322033898305085,0.0,0.423728813559322,236.0
41,담꾹 군자점,26.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.666666666666668,0.0,46.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,15.0
42,본죽 군자역점,46.0,0.6666666666666667,0.0,1.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,18.666666666666668,0.0,32.0,0.0,0.6666666666666667,0.0,0.0,0.6666666666666667,0.0,150.0
43,심야식당쿠난,45.91549295774648,0.28169014084507044,0.8450704225352111,0.28169014084507044,0.0,0.0,0.0,9.859154929577464,0.0,0.28169014084507044,11.267605633802818,0.0,25.633802816901408,1.6901408450704223,0.0,0.5633802816901409,3.0985915492957745,0.0,0.28169014084507044,355.0
44,요마시,76.86567164179104,0.0,0.0,1.4925373134328357,0.0,0.0,0.0,0.7462686567164178,0.0,0.0,1.4925373134328357,0.0,17.16417910447761,0.7462686567164178,0.0,0.7462686567164178,0.0,0.0,0.7462686567164178,134.0
45,이삭토스트 세종대점,61.18143459915611,1.2658227848101267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.18987341772152,1.6877637130801686,19.831223628691983,0.0,0.8438818565400843,0.0,0.0,0.0,0.0,237.0
46,뉴욕떡볶이,70.2127659574468,1.702127659574468,0.0,0.425531914893617,0.0,0.0,0.0,0.0,0.0,0.0,2.9787234042553195,0.0,22.97872340425532,0.851063829787234,0.851063829787234,0.0,0.0,0.0,0.0,235.0
47,섬진강민물장어,43.06569343065693,0.0,0.0,2.9197080291970803,0.0,0.0,0.0,0.0,2.18978102189781,0.0,12.408759124087592,0.0,36.496350364963504,0.0,1.4598540145985401,1.4598540145985401,0.0,0.0,0.0,137.0
48,봉추찜닭 군자역점,72.72727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.181818181818183,0.0,9.090909090909092,0.0,0.0,0.0,0.0,0.0,0.0,11.0
49,60계치킨 군자점,61.53846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6923076923076925,0.0,7.6923076923076925,0.0,0.0,7.6923076923076925,7.6923076923076925,0.0,7.6923076923076925,13.0
50,광나루유황오리주물럭,45.614035087719294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8771929824561403,0.0,14.912280701754385,0.0,34.21052631578947,0.8771929824561403,0.8771929824561403,2.631578947368421,0.0,0.0,0.0,114.0
